entity_id,entity_type,schema_version,food_id,name,name_en,group_name,group,portion_g,portion_basis,energy_kcal,protein_g,carbs_g,fat_g,fiber_g,calculated_kcal_from_macros,kcal_gap_pct,quality_score,missing_nutrients_count,meal_suggestion,provenance,source_code,updated_at
food_11002,food,v1,11002,Dưa chuột hộp,Cucumber (canned),Đồ hộp,Đồ hộp,100,per_100g,19.0,0.3,4.16,0.14,,19.1,0.53,0.84,8,General,Viện Dinh dưỡng Quốc gia,11002,2026-02-11T19:10:14Z
food_11003,food,v1,11003,Dứa hộp,"Pineapple, canned sweetened",Đồ hộp,Đồ hộp,100,per_100g,57.0,0.3,13.84,0.06,,57.1,0.18,0.84,8,General,Viện Dinh dưỡng Quốc gia,11003,2026-02-11T19:10:14Z
food_11004,food,v1,11004,Lạc chao dầu,"Peanut, oil fried",Đồ hộp,Đồ hộp,100,per_100g,680.0,25.7,10.3,59.5,,679.5,0.07,0.84,8,General,Viện Dinh dưỡng Quốc gia,11004,2026-02-11T19:10:14Z
food_11005,food,v1,11005,Mắc coọc nước đường,Pyrus pachis in syrup,Đồ hộp,Đồ hộp,100,per_100g,58.0,0.2,14.4,,,58.4,0.69,0.69,8,General,Viện Dinh dưỡng Quốc gia,11005,2026-02-11T19:10:14Z
food_11006,food,v1,11006,Mận nước đường,"Plum, canned sweetened",Đồ hộp,Đồ hộp,100,per_100g,62.0,0.3,14.9,0.1,,61.7,0.48,0.84,8,General,Viện Dinh dưỡng Quốc gia,11006,2026-02-11T19:10:14Z
food_11007,food,v1,11007,Mứt bí ngô,Pumpkin jam,Đồ hộp,Đồ hộp,100,per_100g,201.0,0.5,49.8,,,201.2,0.1,0.69,8,General,Viện Dinh dưỡng Quốc gia,11007,2026-02-11T19:10:14Z
food_11008,food,v1,11008,Mứt cam có vỏ,"Orange marmalade, jellies",Đồ hộp,Đồ hộp,100,per_100g,227.0,0.4,56.4,,,227.2,0.09,0.69,8,General,Viện Dinh dưỡng Quốc gia,11008,2026-02-11T19:10:14Z
food_11009,food,v1,11009,Mứt chuối,Banana jam,Đồ hộp,Đồ hộp,100,per_100g,224.0,0.7,55.2,,,223.6,0.18,0.69,8,General,Viện Dinh dưỡng Quốc gia,11009,2026-02-11T19:10:14Z
food_11010,food,v1,11010,Mứt dứa,Pineapple jam,Đồ hộp,Đồ hộp,100,per_100g,210.0,0.5,51.9,,,209.6,0.19,0.69,8,General,Viện Dinh dưỡng Quốc gia,11010,2026-02-11T19:10:14Z
food_11011,food,v1,11011,Mứt đu đủ,Papaya jam,Đồ hộp,Đồ hộp,100,per_100g,186.0,0.4,46.1,,,186.0,0.0,0.69,8,General,Viện Dinh dưỡng Quốc gia,11011,2026-02-11T19:10:14Z
food_11012,food,v1,11012,Nhãn nước đường,"Longan, canned sweetened",Đồ hộp,Đồ hộp,100,per_100g,66.0,0.5,16.0,,,66.0,0.0,0.69,8,General,Viện Dinh dưỡng Quốc gia,11012,2026-02-11T19:10:16Z
food_11013,food,v1,11013,Nước dứa hộp,Pineapple juice,Đồ hộp,Đồ hộp,100,per_100g,41.0,0.3,9.74,0.06,,40.7,0.73,0.84,8,General,Viện Dinh dưỡng Quốc gia,11013,2026-02-11T19:10:16Z
