food_id,name,group,portion_g,energy_kcal,protein_g,carbs_g,fat_g,calculated_kcal_from_macros,meal_suggestion,provenance
12013,Đường cát,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,383.0,1.1,94.6,0.0,382.8,General,Viện Dinh dưỡng Quốc gia
12014,Đường kính,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,397.0,0.0,99.3,0.0,397.2,General,Viện Dinh dưỡng Quốc gia
12015,Kẹo bơ cứng,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,448.0,2.1,71.1,17.2,447.6,General,Viện Dinh dưỡng Quốc gia
12016,Kẹo cà phê,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,378.0,0.0,91.5,1.3,377.7,General,Viện Dinh dưỡng Quốc gia
12017,Kẹo cam chanh,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,378.0,0.0,93.4,0.5,378.1,General,Viện Dinh dưỡng Quốc gia
12018,Kẹo dừa mềm,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,425.0,0.6,78.1,12.2,424.6,General,Viện Dinh dưỡng Quốc gia
12019,Kẹo dứa mềm,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,425.0,0.6,78.1,12.2,424.6,General,Viện Dinh dưỡng Quốc gia
12020,Kẹo lạc,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,458.0,10.3,67.0,16.5,457.7,General,Viện Dinh dưỡng Quốc gia
12021,Kẹo Pastille (kẹo ngậm bạc hà),"Đồ ngọt (đường, bánh, mứt, kẹo)",100,356.0,5.2,83.8,0.0,356.0,General,Viện Dinh dưỡng Quốc gia
12022,Kẹo sô cô la,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,393.0,1.6,86.3,4.6,393.0,General,Viện Dinh dưỡng Quốc gia
12023,Kẹo sữa,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,390.0,2.9,83.0,5.2,390.4,General,Viện Dinh dưỡng Quốc gia
12024,Kẹo vừng viên,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,424.0,2.8,87.6,6.9,423.7,General,Viện Dinh dưỡng Quốc gia
12025,Mạch nha,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,331.0,0.2,82.5,0.0,330.8,General,Viện Dinh dưỡng Quốc gia
12026,Mật ong,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,327.0,0.4,81.3,0.0,326.8,General,Viện Dinh dưỡng Quốc gia
12027,Mứt lạc,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,433.0,5.4,83.6,8.6,433.4,General,Viện Dinh dưỡng Quốc gia
12044,Bánh chocopie,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,435.3,5.51,66.12,16.53,435.29,General,Viện Dinh dưỡng Quốc gia
12053,Bánh sữa,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,427.0,10.32,70.95,11.35,427.23,General,Viện Dinh dưỡng Quốc gia
12063,Thạch POKE hương trái cây ,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,253.0,0.0,63.16,0.0,252.64,General,Viện Dinh dưỡng Quốc gia
12066,"Bim bim, gạo, mặn","Đồ ngọt (đường, bánh, mứt, kẹo)",100,458.0,5.0,47.5,27.5,457.5,General,Viện Dinh dưỡng Quốc gia
12072,Đậu phộng da cá,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,540.0,13.33,46.67,33.33,539.97,General,Viện Dinh dưỡng Quốc gia
12073,Kem ngô,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,199.0,3.2,27.6,8.4,198.8,General,Viện Dinh dưỡng Quốc gia
